START OF LOG
Playing initiated succesfully

User pressed: L

User pressed: H

User pressed: k

User pressed: l

User pressed: K

User pressed: j

User pressed: H

User pressed: L

User pressed: k

User pressed: k

User pressed: k

User pressed: j

User pressed: j

User pressed: H

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

User pressed: B

